pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
GOOD,GOOD,0,0,1,0,9,4,12,18,78,57,142,127,51%,49%,False
GOOD,GOOD,0,0,4,0,6,1,10,9,35,30,71,63,50%,50%,False
GOOD,GOOD,1,0,0,0,9,4,12,2,83,44,103,87,61%,39%,False
GOOD,GOOD,4,0,0,0,5,4,7,0,47,21,45,42,59%,41%,False
GOOD,GOOD,0,1,0,0,1,2,1,2,64,46,102,94,49%,51%,False
GOOD,GOOD,0,1,0,0,0,1,1,0,22,23,43,39,45%,55%,False
GOOD,GOOD,0,0,0,0,0,7,6,7,45,65,109,129,36%,64%,False
GOOD,GOOD,0,2,0,0,0,2,2,2,23,28,55,73,36%,64%,False
GOOD,SUNNY,0,0,0,0,2,3,6,0,50,47,96,96,43%,57%,False
GOOD,SUNNY,0,0,0,0,0,0,0,0,23,25,49,44,42%,58%,False
GOOD,GOOD,2,1,0,0,9,6,9,4,60,37,82,67,49%,51%,True
GOOD,GOOD,4,2,0,0,4,2,5,0,38,6,53,26,59%,41%,True
GOOD,GOOD,1,2,0,0,4,7,4,3,65,43,94,85,50%,50%,True
GOOD,GOOD,2,4,0,0,2,4,2,3,36,24,47,44,53%,47%,False
GOOD,GOOD,0,1,0,0,4,10,1,14,46,81,72,90,42%,58%,True
GOOD,GOOD,0,3,0,0,2,4,0,7,27,39,32,49,42%,58%,False
GOOD,GOOD,2,0,0,0,13,3,9,6,51,45,113,102,51%,49%,False
GOOD,GOOD,5,0,0,0,5,2,0,5,18,26,46,55,51%,49%,False
GOOD,GOOD,2,0,0,0,2,2,0,0,92,125,155,164,51%,49%,True
GOOD,GOOD,2,1,0,0,2,0,0,0,52,65,86,86,51%,49%,True
GOOD,GOOD,0,0,0,0,4,0,9,6,50,29,145,66,58%,42%,False
GOOD,GOOD,2,0,0,0,1,0,6,1,20,8,86,23,65%,35%,False
GOOD,GOOD,1,0,0,0,4,2,2,5,42,61,98,132,46%,54%,True
GOOD,GOOD,2,2,0,0,2,0,0,1,10,32,39,75,43%,57%,False
GOOD,GOOD,0,0,0,0,4,2,4,7,32,39,68,62,44%,56%,False
GOOD,GOOD,0,0,0,0,0,0,1,0,14,7,32,15,62%,38%,False
GOOD,GOOD,1,0,0,0,2,2,6,7,52,58,97,95,15%,85%,False
GOOD,GOOD,1,0,0,0,2,1,3,2,30,12,47,25,15%,85%,False
GOOD,GOOD,1,5,0,0,11,9,7,4,79,51,111,96,51%,49%,True
GOOD,GOOD,3,5,0,0,1,7,3,1,26,29,61,48,48%,52%,True
GOOD,GOOD,0,1,0,0,9,3,9,3,82,44,103,76,64%,36%,True
GOOD,GOOD,1,2,0,0,2,1,3,1,38,23,53,37,62%,38%,False
GOOD,GOOD,1,0,0,0,10,3,11,7,55,44,75,123,51%,49%,True
GOOD,GOOD,4,0,0,0,6,1,9,3,37,22,46,64,53%,47%,True
GOOD,GOOD,0,0,0,0,1,6,5,2,53,60,110,114,48%,52%,True
GOOD,GOOD,0,0,0,0,0,4,1,1,23,33,47,55,44%,56%,False
GOOD,GOOD,4,0,0,0,6,2,7,3,63,28,87,79,48%,52%,False
GOOD,GOOD,5,0,0,0,4,0,2,1,27,15,43,38,45%,55%,False
GOOD,GOOD,0,0,0,0,1,4,7,16,40,84,83,105,29%,71%,True
GOOD,GOOD,0,0,0,0,0,0,4,6,19,38,37,52,26%,74%,True
GOOD,GOOD,0,0,0,0,10,5,6,7,75,81,122,130,51%,49%,False
GOOD,GOOD,3,2,0,0,3,3,4,5,36,42,54,67,50%,50%,True
GOOD,GOOD,0,1,0,0,1,1,0,0,62,31,119,72,65%,35%,False
GOOD,GOOD,1,1,0,0,0,1,0,0,28,14,60,40,64%,36%,True
GOOD,GOOD,1,1,0,0,3,8,4,7,33,71,92,104,48%,52%,True
GOOD,GOOD,2,4,0,0,2,3,2,2,12,33,45,54,47%,53%,True
GOOD,GOOD,3,0,0,0,10,2,4,3,49,25,96,63,68%,32%,True
GOOD,GOOD,5,0,0,0,4,0,2,0,28,8,52,24,73%,27%,True
GOOD,GOOD,0,0,0,0,4,7,7,6,81,60,138,121,60%,40%,False
GOOD,GOOD,0,2,0,0,2,3,3,3,43,23,74,54,63%,37%,True
GOOD,GOOD,0,0,0,0,4,2,6,2,47,41,113,91,52%,48%,False
GOOD,GOOD,0,0,0,0,1,0,1,1,17,20,53,55,44%,56%,True
GOOD,GOOD,0,0,0,0,2,4,7,7,50,48,88,84,58%,42%,True
GOOD,GOOD,0,0,0,0,1,3,1,1,28,24,49,40,62%,38%,True
GOOD,GOOD,1,0,0,0,2,0,6,3,153,34,191,68,73%,27%,False
GOOD,GOOD,2,0,0,0,1,0,2,2,74,19,89,36,75%,25%,False
GOOD,GOOD,0,0,0,1,0,0,3,1,43,34,102,87,0,0,True
GOOD,GOOD,2,1,0,0,3,5,4,10,83,54,161,131,2,4,False
GOOD,GOOD,0,0,0,0,1,1,4,1,44,31,82,62,61%,39%,False
GOOD,GOOD,1,0,0,0,0,1,1,0,21,13,49,34,64%,36%,True
GOOD,GOOD,2,0,0,0,5,0,7,1,83,38,113,87,56%,44%,False
GOOD,GOOD,4,0,0,0,3,0,1,1,36,26,57,44,52%,48%,False
GOOD,GOOD,1,0,0,1,2,6,5,2,80,69,96,82,53%,47%,False
GOOD,GOOD,1,1,0,4,1,4,3,1,40,32,49,45,54%,46%,True
GOOD,GOOD,3,0,0,0,18,2,7,6,81,41,74,55,59%,41%,False
GOOD,GOOD,6,0,0,0,12,1,4,2,48,15,45,18,65%,35%,True
GOOD,GOOD,0,0,0,0,5,2,5,4,96,74,86,83,46%,54%,False
GOOD,GOOD,0,0,0,0,0,0,3,3,44,37,31,32,43%,57%,True
GOOD,GOOD,1,0,0,0,8,1,9,5,48,33,115,102,50%,50%,True
GOOD,GOOD,1,1,0,0,4,0,4,2,16,20,62,62,45%,55%,True
GOOD,GOOD,0,0,2,0,1,11,4,21,18,92,54,128,32%,68%,False
GOOD,GOOD,0,1,2,0,0,2,3,9,7,33,29,74,38%,62%,True
GOOD,GOOD,2,0,0,0,6,2,6,2,52,38,96,84,56%,44%,False
GOOD,GOOD,3,1,0,0,2,0,3,2,23,24,42,39,51%,49%,False
GOOD,GOOD,1,0,0,0,3,5,3,9,33,56,91,96,1,2,False
GOOD,GOOD,0,0,0,0,1,5,1,8,58,77,118,106,55%,45%,False
GOOD,GOOD,1,0,0,0,0,2,0,2,34,38,61,48,49%,51%,False
GOOD,GOOD,0,1,0,0,2,7,6,11,56,109,110,160,36%,64%,True
GOOD,GOOD,0,1,0,0,1,1,1,8,19,49,57,87,32%,68%,False
GOOD,GOOD,0,0,0,0,7,4,9,4,41,43,70,74,50%,50%,False
GOOD,GOOD,1,1,0,0,2,0,4,2,19,24,36,38,52%,48%,False
GOOD,GOOD,1,0,0,0,9,3,10,6,77,70,87,80,45%,55%,True
GOOD,GOOD,3,0,0,0,6,1,8,0,48,22,48,41,52%,48%,False
GOOD,GOOD,0,0,0,0,2,6,0,3,51,46,85,84,48%,52%,False
GOOD,GOOD,1,3,0,0,1,2,0,2,10,27,32,43,40%,60%,False
GOOD,GOOD,0,1,0,0,2,4,4,5,58,47,88,73,60%,40%,True
GOOD,GOOD,1,1,0,0,1,2,4,2,31,19,45,33,59%,41%,True
GOOD,GOOD,0,1,5,3,4,2,11,5,85,59,101,83,60%,40%,False
GOOD,GOOD,2,2,3,1,1,1,6,2,35,38,43,53,47%,53%,False
GOOD,GOOD,0,0,0,0,1,3,2,4,38,53,91,105,45%,55%,False
GOOD,GOOD,1,0,0,0,0,1,1,3,14,23,45,49,47%,53%,True
GOOD,GOOD,1,0,3,0,2,2,5,13,37,58,98,93,29%,71%,True
GOOD,GOOD,1,2,2,0,2,0,3,4,24,25,52,43,33%,67%,True
GOOD,GOOD,0,1,0,0,3,4,9,4,76,61,139,132,53%,47%,False
GOOD,GOOD,1,1,0,0,0,4,6,1,39,26,66,58,57%,43%,True
GOOD,GOOD,1,1,0,0,9,6,6,4,57,39,97,81,51%,49%,True
GOOD,GOOD,3,2,0,0,4,4,2,4,28,17,48,42,55%,45%,False
GOOD,GOOD,0,0,1,0,2,3,3,7,36,45,64,94,43%,57%,True
GOOD,GOOD,1,0,3,0,1,1,1,5,14,26,30,48,44%,56%,False
GOOD,GOOD,0,0,0,0,2,0,0,0,53,59,83,79,48%,52%,True
GOOD,GOOD,2,0,0,0,0,0,0,0,27,25,34,37,50%,50%,True
REGULAR,RAINY,0,1,0,0,4,6,10,8,76,68,100,97,46%,54%,False
REGULAR,RAINY,2,2,0,0,0,5,4,3,38,36,51,46,43%,57%,True
REGULAR,RAINY,0,0,0,0,2,4,3,14,45,90,100,112,46%,54%,False
REGULAR,RAINY,1,3,0,0,0,0,2,6,20,41,52,59,48%,52%,False
WETANDFAST,RAINY,2,0,0,0,4,4,4,2,72,69,121,111,55%,45%,True
WETANDFAST,RAINY,2,0,0,0,3,2,4,0,35,32,61,53,56%,44%,True
GOOD,GOOD,0,1,0,0,5,6,7,5,38,42,78,88,45%,55%,False
GOOD,GOOD,1,2,0,0,2,3,3,2,14,23,39,48,41%,59%,True
GOOD,GOOD,3,0,0,0,14,0,9,2,111,42,131,92,58%,42%,False
GOOD,GOOD,5,0,0,0,9,0,2,0,56,18,66,43,60%,40%,True
GOOD,GOOD,0,1,0,0,9,2,3,1,60,61,78,77,53%,47%,True
GOOD,GOOD,1,2,0,0,7,1,2,0,30,33,32,36,49%,51%,True
GOOD,GOOD,1,1,0,0,5,7,5,6,40,37,61,75,48%,52%,False
GOOD,GOOD,1,3,0,0,2,3,4,1,21,11,31,38,56%,44%,True
GOOD,GOOD,3,0,0,0,20,2,25,2,87,6,101,13,66%,34%,False
