time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
fh,Mali Premiere Division,GOOD,GOOD,0,0,1,0,9,4,12,18,78,57,142,127,51%,49%,False
lh,Mali Premiere Division,GOOD,GOOD,0,0,4,0,6,1,10,9,35,30,71,63,50%,50%,False
fh,Tanzania Premier Le...,GOOD,GOOD,1,0,0,0,9,4,12,2,83,44,103,87,61%,39%,False
lh,Tanzania Premier Le...,GOOD,GOOD,4,0,0,0,5,4,7,0,47,21,45,42,59%,41%,False
fh,Mali Premiere Division,GOOD,GOOD,0,1,0,0,1,2,1,2,64,46,102,94,49%,51%,False
lh,Mali Premiere Division,GOOD,GOOD,0,1,0,0,0,1,1,0,22,23,43,39,45%,55%,False
fh,Qatar U23 League,GOOD,GOOD,0,0,0,0,0,7,6,7,45,65,109,129,36%,64%,False
lh,Qatar U23 League,GOOD,GOOD,0,2,0,0,0,2,2,2,23,28,55,73,36%,64%,False
fh,Mali Premiere Division,GOOD,SUNNY,0,0,0,0,2,3,6,0,50,47,96,96,43%,57%,False
lh,Mali Premiere Division,GOOD,SUNNY,0,0,0,0,0,0,0,0,23,25,49,44,42%,58%,False
fh,Australia W-League,GOOD,GOOD,2,1,0,0,9,6,9,4,60,37,82,67,49%,51%,True
lh,Australia W-League,GOOD,GOOD,4,2,0,0,4,2,5,0,38,6,53,26,59%,41%,True
fh,India Delhi Senior ...,GOOD,GOOD,1,2,0,0,4,7,4,3,65,43,94,85,50%,50%,True
lh,India Delhi Senior ...,GOOD,GOOD,2,4,0,0,2,4,2,3,36,24,47,44,53%,47%,False
fh,Hong Kong Cup,GOOD,GOOD,0,1,0,0,4,10,1,14,46,81,72,90,42%,58%,True
lh,Hong Kong Cup,GOOD,GOOD,0,3,0,0,2,4,0,7,27,39,32,49,42%,58%,False
fh,Israel Youth League,GOOD,GOOD,2,0,0,0,13,3,9,6,51,45,113,102,51%,49%,False
lh,Israel Youth League,GOOD,GOOD,5,0,0,0,5,2,0,5,18,26,46,55,51%,49%,False
fh,Nepal Division 1,GOOD,GOOD,2,0,0,0,2,2,0,0,92,125,155,164,51%,49%,True
lh,Nepal Division 1,GOOD,GOOD,2,1,0,0,2,0,0,0,52,65,86,86,51%,49%,True
fh,China Super League,GOOD,GOOD,0,0,0,0,4,0,9,6,50,29,145,66,58%,42%,False
lh,China Super League,GOOD,GOOD,2,0,0,0,1,0,6,1,20,8,86,23,65%,35%,False
fh,China Super League,GOOD,GOOD,1,0,0,0,4,2,2,5,42,61,98,132,46%,54%,True
lh,China Super League,GOOD,GOOD,2,2,0,0,2,0,0,1,10,32,39,75,43%,57%,False
fh,Israel Youth League,GOOD,GOOD,0,0,0,0,4,2,4,7,32,39,68,62,44%,56%,False
lh,Israel Youth League,GOOD,GOOD,0,0,0,0,0,0,1,0,14,7,32,15,62%,38%,False
fh,Nepal Division 1,GOOD,GOOD,1,0,0,0,2,2,6,7,52,58,97,95,15%,85%,False
lh,Nepal Division 1,GOOD,GOOD,1,0,0,0,2,1,3,2,30,12,47,25,15%,85%,False
fh,Israel Youth League,GOOD,GOOD,1,5,0,0,11,9,7,4,79,51,111,96,51%,49%,True
lh,Israel Youth League,GOOD,GOOD,3,5,0,0,1,7,3,1,26,29,61,48,48%,52%,True
fh,Israel Youth League,GOOD,GOOD,0,1,0,0,9,3,9,3,82,44,103,76,64%,36%,True
lh,Israel Youth League,GOOD,GOOD,1,2,0,0,2,1,3,1,38,23,53,37,62%,38%,False
fh,Australia A-League,GOOD,GOOD,1,0,0,0,10,3,11,7,55,44,75,123,51%,49%,True
lh,Australia A-League,GOOD,GOOD,4,0,0,0,6,1,9,3,37,22,46,64,53%,47%,True
fh,COSAFA Cup,GOOD,GOOD,0,0,4,1,0,4,7,6,31,39,68,99,42%,58%,True
lh,COSAFA Cup,GOOD,GOOD,0,0,0,4,0,1,3,2,18,11,40,44,46%,54%,False
fh,Africa Cup of Nations,GOOD,GOOD,2,0,1,2,4,2,8,14,22,50,62,119,33%,67%,False
lh,Africa Cup of Nations,GOOD,GOOD,2,1,0,6,3,0,4,5,12,25,32,55,38%,62%,True
fh,Malta Premier League,GOOD,GOOD,0,2,0,0,12,9,8,3,70,38,121,71,62%,38%,True
lh,Malta Premier League,GOOD,GOOD,1,3,0,0,5,4,4,0,28,19,60,37,64%,36%,False
fh,Spain Segunda B Gro...,GOOD,GOOD,1,1,0,0,6,6,5,6,74,76,134,133,56%,44%,True
lh,Spain Segunda B Gro...,GOOD,GOOD,3,2,0,0,3,3,4,2,39,40,61,62,54%,46%,False
fh,Botswana Premier Le...,GOOD,GOOD,2,0,0,0,8,9,7,8,90,84,103,93,48%,52%,False
lh,Botswana Premier Le...,GOOD,GOOD,2,2,0,0,3,4,2,7,33,37,47,39,48%,52%,False
fh,Italy Serie A,GOOD,GOOD,0,0,1,0,3,3,9,10,67,36,200,129,65%,35%,False
lh,Italy Serie A,GOOD,GOOD,0,0,3,4,2,0,1,4,24,10,83,45,65%,35%,True
fh,Italy Serie C Group B,GOOD,GOOD,1,1,2,2,5,5,11,3,55,54,99,105,46%,54%,True
lh,Italy Serie C Group B,GOOD,GOOD,3,3,5,3,3,2,6,1,26,23,45,51,46%,54%,True
fh,Tipsport Liga,GOOD,GOOD,0,0,0,0,5,2,5,4,95,43,121,81,64%,36%,False
lh,Tipsport Liga,GOOD,GOOD,1,1,0,0,3,0,2,3,53,14,62,38,70%,30%,True
fh,Turkey Super Lig,GOOD,GOOD,0,1,0,3,4,4,5,8,66,59,110,94,46%,54%,False
lh,Turkey Super Lig,GOOD,GOOD,0,1,0,1,1,3,2,4,21,31,41,44,39%,61%,True
fh,Cyprus Division 1,GOOD,GOOD,0,0,0,0,4,1,16,5,73,20,122,74,68%,32%,False
lh,Cyprus Division 1,GOOD,GOOD,1,1,0,1,1,0,6,4,32,8,67,30,65%,35%,False
fh,Turkey Super Lig,GOOD,GOOD,0,0,6,0,8,6,10,6,68,58,84,57,54%,46%,True
lh,Turkey Super Lig,GOOD,GOOD,1,0,2,0,4,1,4,6,38,27,41,22,54%,46%,False
fh,Europe Friendlies,GOOD,GOOD,1,2,0,0,5,3,3,8,40,47,63,79,38%,62%,False
lh,Europe Friendlies,GOOD,GOOD,3,3,0,0,3,2,2,3,21,16,33,27,44%,56%,False
fh,Germany Bundesliga II,GOOD,GOOD,0,0,4,4,4,4,18,11,98,62,166,125,51%,49%,True
lh,Germany Bundesliga II,GOOD,GOOD,0,0,0,8,0,0,7,8,33,17,54,53,51%,49%,True
fh,Germany 3.Liga,GOOD,GOOD,0,0,0,1,4,7,10,12,46,56,102,101,46%,54%,True
lh,Germany 3.Liga,GOOD,GOOD,0,1,0,3,1,1,6,5,27,20,45,51,38%,62%,False
fh,Europe Friendlies,GOOD,GOOD,1,1,0,0,5,5,6,4,38,39,82,92,45%,55%,True
lh,Europe Friendlies,GOOD,GOOD,1,1,0,0,4,3,5,1,26,20,49,45,48%,52%,True
fh,Kuwait Division 1,GOOD,GOOD,0,1,0,0,1,4,5,4,82,40,121,99,53%,47%,False
lh,Kuwait Division 1,GOOD,GOOD,0,1,0,0,1,2,1,3,25,25,52,47,53%,47%,False
fh,Portugal Liga 3,GOOD,GOOD,1,0,0,1,1,4,5,7,45,66,120,146,47%,53%,True
lh,Portugal Liga 3,GOOD,GOOD,1,0,0,6,1,1,4,4,26,19,69,58,57%,43%,True
fh,Italy Serie C Group A,GOOD,GOOD,0,0,4,0,5,2,4,8,58,83,81,80,46%,54%,True
lh,Italy Serie C Group A,GOOD,GOOD,0,0,1,0,5,2,3,3,35,32,46,36,54%,46%,True
fh,Israel Premier League,GOOD,GOOD,1,0,0,0,3,2,5,4,56,87,94,151,38%,62%,False
lh,Israel Premier League,GOOD,GOOD,2,0,0,0,2,1,2,3,28,36,46,72,40%,60%,True
fh,Turkey Super Lig,GOOD,GOOD,0,1,0,2,9,4,8,0,80,35,104,75,68%,32%,False
lh,Turkey Super Lig,GOOD,GOOD,1,2,0,0,1,2,1,0,35,21,59,39,65%,35%,True
fh,Spain Tercera Group 5,GOOD,GOOD,0,0,0,0,3,6,4,7,41,52,87,87,48%,52%,False
lh,Spain Tercera Group 5,GOOD,GOOD,2,0,0,0,0,1,3,2,25,28,44,45,50%,50%,True
fh,Spain Tercera Group 4,GOOD,GOOD,0,2,2,1,2,3,7,4,33,38,62,63,58%,42%,True
lh,Spain Tercera Group 4,GOOD,GOOD,1,2,4,1,0,3,2,1,15,21,31,31,54%,46%,False
fh,Spain Primera Divis...,GOOD,GOOD,1,0,0,0,6,6,7,2,75,86,95,120,42%,58%,False
lh,Spain Primera Divis...,GOOD,GOOD,2,0,0,0,2,2,4,2,33,37,53,63,44%,56%,True
fh,Spain Tercera Group 11,GOOD,GOOD,0,1,0,3,9,7,10,8,43,35,82,82,51%,49%,False
lh,Spain Tercera Group 11,GOOD,GOOD,1,1,0,2,6,3,6,4,21,17,40,36,57%,43%,False
fh,Spain Tercera Group 11,GOOD,GOOD,2,0,2,0,14,1,2,7,42,38,79,81,52%,48%,False
lh,Spain Tercera Group 11,GOOD,GOOD,4,0,2,0,6,0,1,2,20,16,40,38,54%,46%,True
